gamma,lambda,tau_r,D_c,seed,copter_mode,rover_start_r,rover_start_c,copter_start_r,copter_start_c,max_k,complete,fail,k_final,which_phi,epochs,avg_expanded,avg_Phi,avg_G,avg_C_r,avg_C_c,avg_I,avg_u_r,avg_u_c,final_Phi,final_G,rover_path_length,copter_path_length,runtime_s
0,0,0.3,15,15,utility,2,1,1,6,300,False,False,304,,38,121.8157894736842,12.523290260299637,-0.16954689979730045,0.05472214583367989,0.5624113392529275,8.461891440064619,-0.16954689979730045,12.523290260299637,9.717751024625471,-0.15530149954733155,114.82842712474618,14.899494936611667,5.079898749943823
0,0,0.3,15,16,utility,4,9,4,1,300,False,False,304,,38,111.1842105263158,11.227745711723612,-0.22680648784051827,0.0547516255677896,0.5822702026059481,7.636368133042755,-0.22680648784051827,11.227745711723612,5.903603854152,-0.19760738469188113,114.41421356237309,14.727922061357859,4.534847791073844
0,0,0.3,15,17,utility,8,2,1,1,300,False,False,304,,38,115.73684210526316,14.189973528545282,-0.34712408133638856,0.05472214583367989,0.5241910466960198,9.691398406587782,-0.34712408133638856,14.189973528545282,13.504350617599954,-0.23503594665530889,134.7106781186547,14.899494936611667,4.214731000014581
0,0,0.3,15,18,utility,7,2,4,1,300,False,False,304,,38,106.39473684210526,12.132609275981517,-0.4359914719571612,0.019696502459723677,0.5890730608118483,8.379067165292447,-0.4359914719571612,12.132609275981517,-0.42633806387460715,-0.42633806387460715,114.0,14.727922061357859,3.974342582980171
0,0,0.3,15,19,utility,4,0,9,3,300,False,True,8,,1,183.0,83.79670822010256,-20.72326583694641,2.0794415416798357,9.65685424949238,69.67998270469931,-20.72326583694641,83.79670822010256,83.79670822010256,-20.72326583694641,3.0,6.65685424949238,0.3906600830378011
0,0,0.3,15,20,utility,3,0,4,5,300,False,False,304,,38,107.39473684210526,12.525858789373459,-0.09654544197653869,0.07646551579193368,0.5454716331936278,8.414936154233326,-0.09654544197653869,12.525858789373459,-0.07571665032601149,-0.07571665032601149,115.24264068711929,14.899494936611667,3.8897116250591353
0,0,0.3,15,21,utility,9,4,7,0,300,False,False,304,,38,102.07894736842105,12.86911944369071,-0.25611332445592877,0.05193725648479003,0.5739653839909494,8.750155178764421,-0.25611332445592877,12.86911944369071,-0.1955667835439752,-0.1955667835439752,114.41421356237309,14.727922061357859,3.9609917498892173
0,0,0.3,15,22,utility,3,6,4,4,300,False,False,304,,38,123.94736842105263,14.027046515328678,-0.33872861870004056,0.015464064513423808,0.5087756141268907,9.577183422685811,-0.33872861870004056,14.027046515328678,-0.3080301978761392,-0.3080301978761392,114.0,14.313708498984763,4.1775059580104426
0,0,0.3,15,23,utility,0,0,0,0,300,False,False,304,,38,86.3157894736842,8.650939136352159,-0.4765270371953341,0.028910798303816237,0.6325015223874505,6.084977449031662,-0.4765270371953341,8.650939136352159,-0.4700036292457356,-0.4700036292457356,114.82842712474618,14.727922061357859,3.941202332964167
0,0,0.3,15,24,utility,4,6,6,8,300,False,False,304,,38,24.763157894736842,6.367994129181769,-0.05667211135338305,0.015448822363341897,0.5253681589173065,4.283110827023438,-0.05667211135338305,6.367994129181769,-0.023218256983533667,-0.023218256983533667,118.14213562373095,14.727922061357859,2.3168372090440243
0,0,0.3,15,25,utility,0,6,4,8,300,False,False,304,,38,33.31578947368421,5.437147359838323,-0.719783712490889,0.07073283643917856,0.6229524729304478,4.104620714886143,-0.719783712490889,5.437147359838323,-0.14764209698588637,-0.14764209698588637,138.33809511662417,14.727922061357859,2.29961679095868
0,0,0.3,15,26,utility,1,9,9,8,300,False,False,304,,38,48.18421052631579,6.0802416235214345,-1.0143531913761135,0.0677147815142865,0.7065878830586927,4.729729876598367,-1.0143531913761135,6.0802416235214345,-0.481679876630971,-0.481679876630971,112.0,14.899494936611667,10.878846958978102
0,0,0.3,15,27,utility,0,5,5,2,300,False,False,304,,38,97.60526315789474,9.570313625443823,-0.6806247271544911,0.07542996958918735,0.6219089212311255,6.833958901732214,-0.6806247271544911,9.570313625443823,-0.07488481319181155,-0.07488481319181155,111.0,14.313708498984763,5.15093645802699
0,0,0.3,15,28,utility,7,4,4,0,300,False,False,304,,38,109.94736842105263,12.878872528786736,-0.3297764134900836,0.0547998486248915,0.472736579969938,8.805765961517881,-0.3297764134900836,12.878872528786736,-0.3074847652381992,-0.3074847652381992,116.07106781186548,14.727922061357859,4.32563187496271
0,0,0.3,15,29,utility,0,1,8,2,300,False,False,304,,38,99.1842105263158,15.059664844076691,-0.10640005003191554,0.05472214583367989,0.5568921174096851,10.110709929405738,-0.10640005003191554,15.059664844076691,17.175233180615898,-0.08463208432652973,114.82842712474618,14.727922061357859,4.161797666922212
0,0,0.3,15,30,utility,5,1,7,2,300,False,False,304,,38,97.52631578947368,12.78149457821562,-0.17935211099695694,0.028422062287350284,0.5480774098671222,8.640564459475057,-0.17935211099695694,12.78149457821562,-0.15697665736279104,-0.15697665736279104,114.82842712474618,14.727922061357859,3.9342254999792203
0,0,0.3,30,1,utility,5,4,5,7,300,False,False,304,,38,86.5,14.854219973664936,-0.2380203093028969,0.035582977926130105,1.0078279835705128,10.061493521978557,-0.2380203093028969,14.854219973664936,-0.14809432422294724,-0.14809432422294724,140.0954544295049,29.62741699796953,4.490600874996744
0,0,0.3,30,2,utility,8,1,8,4,300,False,False,304,,38,85.28947368421052,11.95399015088895,-0.47892791171836113,0.015463855828309529,1.298186955661793,8.28861204173821,-0.47892791171836113,11.95399015088895,-0.45741514790356874,-0.45741514790356874,114.0,29.62741699796953,6.644613959011622
0,0,0.3,30,3,utility,8,4,1,1,300,True,False,16,φ3 (C→D),2,219.5,100.82274802997598,-0.3487078779912398,1.4693954485769263,9.859313423136213,67.44763727197815,-0.3487078779912398,100.82274802997598,89.98837717542895,0.0,8.071067811865476,13.727922061357859,0.900869166944176
